Pavadinimas,Metai,Trukmė,Žanras,Reitingas
Night and the City,1950,96 ,"Crime, Film-Noir, Mystery",7.9
Nightmare Alley,1947,110 ,"Drama, Film-Noir",7.7
The Big Clock,1948,95 ,"Crime, Drama, Film-Noir",7.6
The Narrow Margin,1952,71 ,"Crime, Drama, Film-Noir",7.6
Brute Force,1947,98 ,"Crime, Drama, Film-Noir",7.6
Where the Sidewalk Ends,1950,95 ,"Crime, Drama, Film-Noir",7.6
Criss Cross,1949,84 ,"Crime, Drama, Film-Noir",7.4
The Harder They Fall,1956,109 ,"Drama, Film-Noir, Sport",7.5
The Desperate Hours,1955,112 ,"Crime, Drama, Film-Noir",7.5
The Big Combo,1955,87 ,"Crime, Drama, Film-Noir",7.3
All My Sons,1948,94 ,"Drama, Film-Noir",7.3
Thieves' Highway,1949,94 ,"Drama, Film-Noir, Thriller",7.5
Underworld,1927,80 ,"Crime, Drama, Film-Noir",7.5
They Live by Night,1948,95 ,"Crime, Film-Noir, Romance",7.4
Caged,1950,96 ,"Crime, Drama, Film-Noir",7.6
Act of Violence,1948,82 ,"Drama, Film-Noir, Thriller",7.5
The Enforcer,1951,87 ,"Crime, Film-Noir, Thriller",7.3
The Hole,1960,131 ,"Crime, Drama, Thriller",8.5
Hands Off the Loot,1954,96 ,"Crime, Drama",7.7
Casque d'Or,1952,94 ,"Crime, Drama, Romance",7.6
Montparnasse 19,1958,108 ,"Biography, Drama, Romance",7.4
American History X,1998,119 ,"Crime, Drama",8.5
The Color of Money,1986,119 ,"Drama, Sport",7.0
Satantango,1994,439 ,Drama,8.2
The Best of Youth,2003,366 ,"Drama, Romance",8.5
Lawrence of Arabia,1962,218 ,"Adventure, Biography, Drama",8.3
Becket,1964,148 ,"Biography, Drama, History",7.8
The Last Emperor,1987,163 ,"Biography, Drama, History",7.7
How to Steal a Million,1966,123 ,"Comedy, Crime, Romance",7.5
My Favorite Year,1982,92 ,"Comedy, Drama",7.3
The Student of Prague,1913,85 ,"Drama, Fantasy, Horror",6.4
The Remains of the Day,1993,134 ,"Drama, Romance",7.8
Noises Off...,1992,101 ,Comedy,7.4
Somewhere in Time,1980,103 ,"Drama, Fantasy, Romance",7.2
Tom Petty and the Heartbreakers: Runnin' Down a Dream,2007,259 ,"Documentary, Music",8.6
Paper Moon,1973,102 ,"Comedy, Crime, Drama",8.1
The Last Picture Show,1971,118 ,"Drama, Romance",8.0
"What's Up, Doc?",1972,94 ,"Comedy, Romance",7.7
Targets,1968,90 ,"Crime, Drama, Thriller",7.3
Band of Brothers,2001,594 ,"Drama, History, War",9.4
The Decalogue,1989–1990,572 ,Drama,9.0
Heimat 2: Chronicle of a Generation,1992,"1,416 ","Drama, History",8.9
Hitler: A Film from Germany,1977,442 ,"Biography, Drama",7.5
Berlin Alexanderplatz,1980,931 ,"Crime, Drama",8.4
Pride and Prejudice,1995,327 ,"Drama, Romance",8.8
Heimat 3: A Chronicle of Endings and Beginnings,2004– ,689 ,"Drama, History",8.1
Mildred Pierce,2011,336 ,Drama,7.6
Gone Girl,2014,149 ,"Drama, Mystery, Thriller",8.1
The Girl with the Dragon Tattoo,2011,158 ,"Crime, Drama, Mystery",7.8
The Girl with the Dragon Tattoo,2009,152 ,"Crime, Drama, Mystery",7.8
The Girl Who Played with Fire,2009,129 ,"Action, Crime, Drama",7.1
The Girl Who Kicked the Hornet's Nest,2009,147 ,"Crime, Drama, Thriller",7.3
Nightcrawler,2014,117 ,"Crime, Drama, Thriller",7.8
Dallas Buyers Club,2013,117 ,"Biography, Drama",7.9
The Imitation Game,2014,114 ,"Biography, Drama, Thriller",8.0
Hot Fuzz,2007,121 ,"Action, Comedy, Mystery",7.8
Ponyo,2008,101 ,"Animation, Adventure, Comedy",7.6
The Talented Mr. Ripley,1999,139 ,"Crime, Drama, Thriller",7.4
Notes on a Scandal,2006,92 ,"Crime, Drama, Romance",7.4
Blue Jasmine,2013,98 ,"Comedy, Drama, Romance",7.3
Within Our Gates,1920,79 ,"Drama, Romance",6.4
The Smiling Madame Beudet,1923,26 ,"Short, Drama",6.6
"Ivan the Terrible, Part II: The Boyars' Plot",1958,88 ,"Biography, Drama, History",7.8
Alexander Nevsky,1938,112 ,"Action, Biography, Drama",7.5
Que Viva Mexico,1979,90 ,"Documentary, Drama, Western",7.4
Old and New,1929,121 ,Drama,7.2
The Hunchback of Notre Dame, 1923,133 ,"Drama, Horror, Romance",7.2
The Penalty,1920,90 ,"Crime, Drama, Thriller",7.4
He Who Gets Slapped,1924,95 ,"Drama, Romance, Thriller",7.8
The Hunchback of Notre Dame,1956,104 ,"Drama, History, Horror",6.6
The Man Who Laughs,1928,110 ,"Drama, Horror, Mystery",7.6
The Golem,1920,91 ,"Fantasy, Horror",7.2
The Mummy,1932,73 ,"Fantasy, Horror",7.0
The Wedding March,1928,113 ,Drama,7.4
Queen Kelly,1932,101 ,Drama,7.1
The Fountainhead,1949,114 ,"Drama, Romance",7.0
Our Daily Bread,1934,80 ,"Drama, Romance",7.0
Duel in the Sun,1946,129 ,"Drama, Romance, Western",6.7
The Seventh Continent,1989,108 ,Drama,7.6
Funny Games,1997,108 ,"Crime, Drama, Thriller",7.5
Benny's Video,1992,110 ,"Crime, Drama",7.1
71 Fragments of a Chronology of Chance,1994,100 ,Drama,7.2
The Faithful Heart,1923,87 ,"Drama, Romance",7.4
A Page of Madness,1926,70 ,"Drama, Horror, Thriller",7.4
Mother,1926,89 ,Drama,7.5
Gate of Hell,1953,89 ,"Drama, History",7.1
The End of St. Petersburg,1927,85 ,Drama,7.3
Bed and Sofa,1927,86 ,"Comedy, Drama",7.3
The Student Prince in Old Heidelberg,1927,106 ,"Drama, Romance",7.6
Lonesome,1928,69 ,"Comedy, Drama, Romance",7.8
L'Argent,1928,195 ,"Drama, Romance",7.5
Falling Down,1993,113 ,"Action, Crime, Drama",7.6
A Time to Kill,1996,149 ,"Crime, Drama, Thriller",7.5
The Client,1994,119 ,"Crime, Drama, Mystery",6.7
St. Elmo's Fire,1985,110 ,"Drama, Romance",6.4
Diary of a Lost Girl,1929,79 ,Drama,7.8
People on Sunday,1930,73 ,"Comedy, Drama, Romance",7.3
The Threepenny Opera,1931,104 ,"Comedy, Crime, Drama",7.2
Comradeship,1931,93 ,Drama,7.5
Mädchen in Uniform,1931,87 ,"Drama, Romance",7.5
Island of Lost Souls,1932,70 ,"Film-Noir, Horror, Sci-Fi",7.4
Playing at Love,1933,88 ,"Drama, Romance",7.5
House of Pleasure,1952,97 ,"Comedy, Drama, Romance",7.6
La Ronde,1950,93 ,"Drama, Romance",7.5
The Reckless Moment,1949,82 ,"Crime, Drama, Film-Noir",7.1
Caught,1949,88 ,"Crime, Drama, Film-Noir",7.0
Block-Heads,1938,57 ,"Comedy, Family, War",7.5
Our Relations,1936,71 ,"Comedy, Family",7.3
Twentieth Century,1934,91 ,"Comedy, Romance",7.3
Toni,1935,84 ,"Crime, Drama, Romance",7.2
The Southerner,1945,92 ,Drama,7.1
La Marseillaise,1938,130 ,"Drama, History, Music",7.0
Children of the Sun,2014,87 ,"Comedy, Drama, Family",6.4
Happiness, 1935,95 ,"Comedy, Drama",7.3
Kontakt, 2005,120 ,"Drama, Romance",7.1
Humanity and Paper Balloons,1937,86 ,Drama,7.6
Sazen Tange and the Pot Worth a Million Ryo,1935,92 ,"Comedy, Drama",7.7
Grad,1963,70 ,Drama,6.9
Sitting Pretty,1948,83 ,"Comedy, Family",7.4
The Parent Trap,1961,129 ,"Comedy, Family, Romance",7.2
The Parent Trap,1998,128 ,"Adventure, Comedy, Drama",6.6
Love with the Proper Stranger,1963,102 ,"Comedy, Drama, Romance",7.3
The Candidate,1972,110 ,"Comedy, Drama",7.0
Cool Hand Luke,1967,127 ,"Crime, Drama",8.1
The Sting,1973,129 ,"Comedy, Crime, Drama",8.3
The Hustler,1961,134 ,"Drama, Sport",8.0
"The Long, Hot Summer",1958,115 ,Drama,7.3
Sweet Bird of Youth,1962,120 ,"Drama, Romance",7.2
Patton,1970,172 ,"Biography, Drama, War",7.9
Hachi: A Dog's Tale,2009,93 ,"Biography, Drama, Family",8.1
Chicago,2002,113 ,"Comedy, Crime, Musical",7.2
Primal Fear,1996,129 ,"Crime, Drama, Mystery",7.7
Days of Heaven,1978,94 ,"Drama, Romance",7.8
Poltergeist,1982,114 ,"Horror, Thriller",7.3
The Sixth Sense,1999,107 ,"Drama, Mystery, Thriller",8.2
Lucky Number Slevin,2006,110 ,"Crime, Drama, Thriller",7.7
The Constitution,2016,93 ,"Comedy, Drama",7.6
Barfly,1987,100 ,"Comedy, Drama, Romance",7.1
Deliverance,1972,109 ,"Adventure, Drama, Thriller",7.7
Smokey and the Bandit,1977,96 ,"Action, Adventure, Comedy",7.0
Young Frankenstein,1974,106 ,Comedy,8.0
The Producers,1967,88 ,"Comedy, Music",7.5
Spaceballs,1987,96 ,"Adventure, Comedy, Sci-Fi",7.1
History of the World: Part I,1981,92 ,"Comedy, History, Musical",6.8
The Missouri Breaks,1976,126 ,"Drama, Western",6.5
Heaven's Gate,1980,219 ,"Adventure, Drama, Western",6.7
In the Mood for Love,2000,98 ,"Drama, Romance",8.1
Mulholland Drive,2001,147 ,"Drama, Mystery, Thriller",7.9
Yi Yi,2000,173 ,"Drama, Romance",8.1
Tropical Malady,2004,118 ,"Drama, Fantasy, Romance",7.1
Uncle Boonmee Who Can Recall His Past Lives,2010,114 ,"Drama, Fantasy",6.7
Holy Motors,2012,115 ,"Drama, Fantasy",7.0
Toni Erdmann,2016,162 ,"Comedy, Drama",7.3
A Separation,2011,123 ,Drama,8.3
The Turin Horse,2011,155 ,Drama,7.7
Brokeback Mountain,2005,134 ,"Drama, Romance",7.7
Under the Skin, 2013,108 ,"Drama, Horror, Mystery",6.3
Talk to Her,2002,112 ,"Drama, Mystery, Romance",7.9
"Crouching Tiger, Hidden Dragon",2000,120 ,"Action, Adventure, Drama",7.9
Tie Xi Qu: West of the Tracks,2002,551 ,Documentary,8.2
The Gleaners & I,2000,82 ,Documentary,7.7
Werckmeister Harmonies,2000,145 ,"Drama, Mystery",8.0
Platform,2000,154 ,"Drama, History",7.3
Russian Ark,2002,99 ,"Drama, Fantasy, History",7.2
The Act of Killing,2012,117 ,"Documentary, Biography, Crime",8.2
Pan's Labyrinth,2006,118 ,"Drama, Fantasy, War",8.2
The Hurt Locker,2008,131 ,"Drama, Thriller, War",7.5
Once Upon a Time in Anatolia,2011,157 ,"Crime, Drama, Thriller",7.8
The Lives of Others,2006,137 ,"Drama, Mystery, Thriller",8.4
And Your Mother Too,2001,106 ,Drama,7.7
Silent Light,2007,136 ,"Drama, Romance",7.2
Oldboy,2003,120 ,"Action, Drama, Mystery",8.4
Still Life,2006,111 ,Drama,7.3
Carol,2015,118 ,"Drama, Romance",7.2
Syndromes and a Century,2006,105 ,Drama,7.3
Colossal Youth,2006,156 ,Drama,6.9
Zama,2017,115 ,"Drama, History",6.7
Tabu, 2012,118 ,"Drama, Romance",7.3
Sideways,2004,127 ,"Comedy, Drama, Romance",7.5
Let the Right One In,2008,114 ,"Drama, Fantasy, Horror",7.8
Roma,2018,135 ,Drama,7.7
Get Out, 2017,104 ,"Horror, Mystery, Thriller",7.8
The Son,2002,99 ,"Drama, Mystery",7.5
Songs from the Second Floor,2000,98 ,"Comedy, Drama",7.5
A Prophet,2009,155 ,"Crime, Drama",7.8
Nostalgia for the Light,2010,90 ,Documentary,7.6
The Headless Woman,2008,87 ,"Drama, Mystery, Thriller",6.6
"Synecdoche, New York",2008,124 ,Drama,7.5
Blue Is the Warmest Colour,2013,180 ,"Drama, Romance",7.7
Certified Copy,2010,106 ,"Drama, Romance",7.2
Distant,2002,110 ,Drama,7.5
"Goodbye, Dragon Inn",2003,82 ,"Drama, Comedy",7.1
Leviathan, 2012,87 ,Documentary,6.5
In Vanda's Room,2000,171 ,Drama,7.0
The New World,2005,135 ,"Biography, Drama, History",6.7
Stranger by the Lake,2013,100 ,"Drama, Romance, Thriller",6.9
The Swamp,2001,103 ,"Comedy, Drama",7.1
Requiem for a Dream,2000,102 ,Drama,8.3
Burning,2018,148 ,"Drama, Mystery, Thriller",7.5
Hunger,2008,96 ,"Biography, Crime, Drama",7.5
Moulin Rouge!,2001,127 ,"Drama, Musical, Romance",7.6
Her,2013,126 ,"Drama, Romance, Sci-Fi",8.0
Blissfully Yours,2002,125 ,"Drama, Romance",6.9
2046,2004,129 ,"Drama, Romance, Sci-Fi",7.4
Margaret, 2011,150 ,Drama,6.5
The Host,2006,120 ,"Drama, Horror, Sci-Fi",7.1
Memories of Murder,2003,132 ,"Crime, Drama, Mystery",8.1
Stories We Tell,2012,108 ,Documentary,7.5
The World,2004,143 ,Drama,7.1
Winter's Bone,2010,100 ,"Drama, Mystery",7.1
Shaun of the Dead,2004,99 ,"Comedy, Horror",7.9
Borat,2006,84 ,Comedy,7.4
First Cow,2019,122 ,"Drama, Western",7.1
Ida,2013,82 ,Drama,7.4
Zero Dark Thirty,2012,157 ,"Drama, History, Thriller",7.4
Poetry,2010,139 ,Drama,7.8
This Is Not a Film,2011,75 ,Documentary,7.4
My Winnipeg,2007,80 ,"Documentary, Comedy, Drama",7.5
Waltz with Bashir,2008,90 ,"Documentary, Animation, Biography",8.0
35 Shots of Rum,2008,100 ,Drama,7.1
Atanarjuat: The Fast Runner,2001,172 ,Drama,7.4
Lady Bird,2017,94 ,"Comedy, Drama",7.4
The Intruder,2004,130 ,Drama,6.7
Manchester by the Sea,2016,137 ,Drama,7.8
Call Me by Your Name,2017,132 ,"Drama, Romance",7.8
Moolaadé,2003,124 ,Drama,7.6
The Great Beauty,2013,141 ,Drama,7.7
Horse Money,2014,103 ,Drama,6.9
Fish Tank,2009,123 ,Drama,7.3
Ten,2002,94 ,Drama,7.4
Capturing the Friedmans,2003,107 ,"Documentary, Biography, Crime",7.7
Son of Saul,2015,107 ,"Drama, War",7.4
Wendy and Lucy,2008,80 ,Drama,7.1
The Child,2005,95 ,"Crime, Drama, Romance",7.4
The Diving Bell and the Butterfly,2007,112 ,"Biography, Drama",8.0
The Pianist,2002,150 ,"Biography, Drama, Music",8.5
The Man Without a Past,2002,97 ,"Comedy, Drama, Romance",7.6
Hero,2002,120 ,"Action, Adventure, Drama",7.9
"La Commune (Paris, 1871)",2000,345 ,"Drama, History, War",8.0
White Material,2009,106 ,"Drama, War",6.9
Kung Fu Hustle,2004,99 ,"Action, Comedy, Fantasy",7.7
Man on Wire,2008,94 ,"Documentary, Biography, Crime",7.7
Volver, 2006,121 ,"Comedy, Drama",7.6
Letters from Iwo Jima,2006,141 ,"Action, Adventure, Drama",7.8
Fat Girl,2001,86 ,Drama,6.4
Weekend, 2011,97 ,"Drama, Romance",7.6
The Return,2003,110 ,Drama,7.9
Millennium Mambo,2001,119 ,"Drama, Romance",7.0
Head-On,2004,121 ,"Drama, Romance",7.9
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000,288 ,"Documentary, Biography",8.2
Le Havre,2011,93 ,"Comedy, Drama",7.2
Frances Ha,2012,86 ,"Comedy, Drama, Romance",7.4
Gladiator,2000,155 ,"Action, Adventure, Drama",8.5
Code Unknown,2000,118 ,Drama,7.1
Donnie Darko,2001,113 ,"Drama, Mystery, Sci-Fi",8.0
Waking Life,2001,99 ,"Animation, Drama, Fantasy",7.7
The Piano Teacher,2001,131 ,"Drama, Music",7.5
Ghost World,2001,111 ,"Comedy, Drama",7.3
A.I. Artificial Intelligence,2001,146 ,"Drama, Sci-Fi",7.2
Spirited Away,2001,125 ,"Animation, Adventure, Family",8.6
The Royal Tenenbaums,2001,110 ,"Comedy, Drama",7.6
The Lord of the Rings: The Fellowship of the Ring,2001,178 ,"Action, Adventure, Drama",8.8
City of God,2002,130 ,"Crime, Drama",8.6
Punch-Drunk Love,2002,95 ,"Comedy, Drama, Romance",7.3
Irreversible,2002,97 ,"Crime, Drama, Mystery",7.3
Far from Heaven,2002,107 ,"Drama, Romance",7.3
I'm Not There,2007,135 ,"Biography, Drama, Music",6.8
Morvern Callar,2002,97 ,Drama,6.7
Inherent Vice,2014,148 ,"Comedy, Crime, Drama",6.6
The Babadook,2014,94 ,"Horror, Mystery",6.8
In Praise of Love,2001,97 ,Drama,6.2
The Holy Girl,2004,106 ,Drama,6.7
Meek's Cutoff,2010,104 ,"Adventure, Drama, Thriller",6.5
Backbone,1975,91 ,"Drama, Horror",6.0
Memento,2000,113 ,"Mystery, Thriller",8.4
Adaptation.,2002,115 ,"Comedy, Drama",7.7
The Lord of the Rings: The Two Towers,2002,179 ,"Action, Adventure, Drama",8.8
Elephant,2003,81 ,"Crime, Drama, Thriller",7.1
Dogville,2003,178 ,"Crime, Drama",8.0
Mystic River,2003,138 ,"Crime, Drama, Mystery",7.9
Dancer in the Dark,2000,140 ,"Crime, Drama, Musical",7.9
Breaking the Waves,1996,159 ,Drama,7.8
Europa,1991,112 ,"Drama, Thriller",7.6
The Five Obstructions,2003,90 ,Documentary,7.4
Manderlay,2005,139 ,Drama,7.2
Melancholia,2011,135 ,"Drama, Sci-Fi",7.1
Nymphomaniac: Vol. I,2013,117 ,Drama,6.9
The House That Jack Built,2018,152 ,"Crime, Drama, Horror",6.8
Nymphomaniac: Vol. II,2013,124 ,Drama,6.6
Antichrist,2009,108 ,"Drama, Horror, Thriller",6.5
A Very Long Engagement,2004,133 ,"Drama, Mystery, Romance",7.6
The City of Lost Children,1995,112 ,"Adventure, Drama, Fantasy",7.5
I Stand Alone,1998,93 ,"Crime, Drama, Thriller",7.3
Lost in Translation,2003,102 ,"Comedy, Drama",7.7
The Conformist,1970,113 ,Drama,7.9
1900,1976,317 ,"Drama, History",7.7
Last Tango in Paris,1972,129 ,"Drama, Romance",6.9
Before the Revolution,1964,105 ,"Drama, Romance",6.8
The Sheltering Sky,1990,138 ,"Adventure, Drama",6.7
Kill Bill: Vol. 1,2003,111 ,"Action, Crime, Thriller",8.2
The Lord of the Rings: The Return of the King,2003,201 ,"Action, Adventure, Drama",9.0
Before Sunset,2004,80 ,"Drama, Romance",8.1
Eternal Sunshine of the Spotless Mind,2004,108 ,"Drama, Romance, Sci-Fi",8.3
The Incredibles,2004,115 ,"Animation, Action, Adventure",8.0
Million Dollar Baby,2004,132 ,"Drama, Sport",8.1
Grizzly Man,2005,103 ,"Documentary, Biography",7.8
Caché,2005,117 ,"Drama, Mystery, Thriller",7.3
A History of Violence,2005,96 ,"Action, Crime, Drama",7.4
The Death of Mr. Lazarescu,2005,153 ,"Comedy, Drama",7.8
Children of Men,2006,109 ,"Action, Drama, Sci-Fi",7.9
The Departed,2006,151 ,"Crime, Drama, Thriller",8.5
Zodiac,2007,157 ,"Crime, Drama, Mystery",7.7
"4 Months, 3 Weeks and 2 Days",2007,113 ,Drama,7.9
No Country for Old Men,2007,122 ,"Crime, Drama, Thriller",8.2
The Assassination of Jesse James by the Coward Robert Ford,2007,160 ,"Biography, Crime, Drama",7.5
In the City of Sylvia,2007,84 ,Drama,6.8
WALL·E,2008,98 ,"Animation, Adventure, Family",8.4
Inglourious Basterds,2009,153 ,"Adventure, Drama, War",8.4
The White Ribbon,2009,144 ,"Drama, Mystery, Thriller",7.8
A Serious Man,2009,106 ,"Comedy, Drama",7.0
Fantastic Mr. Fox,2009,87 ,"Animation, Adventure, Comedy",7.9
Toy Story 3,2010,103 ,"Animation, Adventure, Comedy",8.3
Black Swan,2010,108 ,"Drama, Thriller",8.0
The Tree of Life,2011,139 ,"Drama, Fantasy",6.8
Moonrise Kingdom,2012,94 ,"Adventure, Comedy, Drama",7.8
Amour,2012,127 ,Drama,7.9
The Master,2012,138 ,"Drama, History",7.1
Inside Llewyn Davis,2013,104 ,"Drama, Music",7.4
The Wolf of Wall Street,2013,180 ,"Biography, Comedy, Crime",8.2
Boyhood, 2014,165 ,Drama,7.9
The Grand Budapest Hotel,2014,99 ,"Adventure, Comedy, Crime",8.1
Mad Max: Fury Road,2015,120 ,"Action, Adventure, Sci-Fi",8.1
Inside Out, 2015,95 ,"Animation, Adventure, Comedy",8.1
La La Land,2016,128 ,"Comedy, Drama, Music",8.0
Phantom Thread,2017,130 ,"Drama, History, Romance",7.4
Amores Perros,2000,154 ,"Drama, Thriller",8.1
The Revenant, 2015,156 ,"Action, Adventure, Drama",8.0
Birdman or (The Unexpected Virtue of Ignorance),2014,119 ,"Comedy, Drama",7.7
21 Grams,2003,124 ,"Crime, Drama, Thriller",7.6
Biutiful,2010,148 ,"Drama, Romance",7.4
Babel, 2006,143 ,Drama,7.5
The Wrestler,2008,109 ,"Drama, Sport",7.9
Pi,1998,84 ,"Drama, Horror, Mystery",7.3
The Fountain,2006,97 ,"Drama, Mystery, Romance",7.2
Mother!,2017,121 ,"Drama, Horror, Mystery",6.6
The Legend of 1900,1998,169 ,"Drama, Music, Romance",8.0
The Best Offer,2013,131 ,"Crime, Drama, Mystery",7.8
A Pure Formality,1994,108 ,"Crime, Drama, Thriller",7.6
Everybody's Fine,1990,118 ,Drama,7.7
The Unknown Woman,2006,118 ,"Drama, Mystery, Thriller",7.4
The Star Maker,1995,113 ,"Drama, Romance",7.4
25th Hour,2002,135 ,Drama,7.6
Bad Education,2004,106 ,"Crime, Drama",7.4
Oasis,2002,133 ,"Drama, Romance",7.8
All About My Mother,1999,101 ,"Comedy, Drama, Romance",7.8
The Skin I Live In,2011,120 ,"Drama, Horror, Mystery",7.6
Women on the Verge of a Nervous Breakdown,1988,88 ,"Comedy, Drama",7.5
Live Flesh,1997,103 ,Drama,7.3
Broken Embraces,2009,127 ,"Drama, Romance, Thriller",7.2
Law of Desire,1987,102 ,"Comedy, Drama, Thriller",7.1
Tie Me Up! Tie Me Down!,1989,101 ,"Comedy, Crime, Drama",7.0
Open Your Eyes,1997,119 ,"Drama, Mystery, Sci-Fi",7.7
Twice Born,2012,127 ,"Drama, Romance, War",7.3
Vicky Cristina Barcelona,2008,96 ,"Comedy, Drama, Romance",7.1
Don't Move,2004,125 ,"Drama, Romance",7.0
Vanilla Sky,2001,136 ,"Fantasy, Mystery, Romance",6.9
Almost Famous,2000,122 ,"Adventure, Comedy, Drama",7.9
"The Cook, the Thief, His Wife & Her Lover",1989,124 ,"Crime, Drama",7.5
Selma,2014,128 ,"Biography, Drama, History",7.5
Rosencrantz & Guildenstern Are Dead,1990,117 ,"Comedy, Drama",7.3
Peppermint Candy,1999,129 ,Drama,7.6
Secret Sunshine,2007,142 ,Drama,7.5
Green Fish,1997,111 ,Drama,7.0
A Brighter Summer Day,1991,237 ,"Crime, Drama, Romance",8.2
The Terrorizers,1986,109 ,"Crime, Drama",7.7
Taipei Story,1985,119 ,Drama,7.6
"That Day, on the Beach",1983,166 ,Drama,7.6
A Confucian Confusion,1994,125 ,"Comedy, Drama, Romance",7.6
Chungking Express,1994,102 ,"Comedy, Crime, Drama",8.0
Fallen Angels,1995,99 ,"Comedy, Crime, Drama",7.6
Happy Together,1997,96 ,"Drama, Romance",7.7
Let the Wind Carry Me,2009,90 ,Documentary,7.7
Days of Being Wild,1990,94 ,"Crime, Drama, Romance",7.4
Touch of the Light,2012,110 ,"Biography, Drama",7.4
Chung Kuo: China,1972,135 ,Documentary,7.6
The Girlfriends,1955,104 ,"Drama, Romance",7.1
Story of a Love Affair,1950,98 ,"Crime, Drama, Romance",7.1
Ali: Fear Eats the Soul,1974,92 ,"Drama, Romance",8.0
The Marriage of Maria Braun,1979,120 ,Drama,7.7
Veronika Voss,1982,104 ,Drama,7.7
The Bitter Tears of Petra von Kant,1972,124 ,"Drama, Romance",7.6
Fox and His Friends,1975,123 ,"Crime, Drama, Romance",7.6
Mother Kusters Goes to Heaven,1975,108 ,Drama,7.5
Lola,1981,115 ,"Drama, Romance",7.4
In a Year with 13 Moons,1978,124 ,Drama,7.4
The Merchant of Four Seasons,1972,88 ,Drama,7.3
Chinese Roulette,1976,86 ,"Drama, Thriller",7.2
Man's Favorite Sport?,1964,120 ,"Comedy, Romance",7.1
Hatari!,1962,157 ,"Action, Adventure, Comedy",7.1
The Dawn Patrol,1930,108 ,"Action, Drama, War",7.1
Air Force,1943,124 ,"Action, Drama, History",7.0
Monkey Business,1952,97 ,"Comedy, Sci-Fi",6.9
The Umbrellas of Cherbourg,1964,91 ,"Drama, Musical, Romance",7.8
The Young Girls of Rochefort,1967,125 ,"Comedy, Drama, Musical",7.7
Lola,1961,90 ,"Drama, Romance",7.5
Bay of Angels,1963,90 ,"Drama, Romance",7.3
Donkey Skin,1970,91 ,"Comedy, Fantasy, Musical",7.0
Army of Shadows,1969,145 ,"Drama, War",8.1
Le Samouraï,1967,101 ,"Crime, Drama, Thriller",8.0
The Red Circle,1970,140 ,"Crime, Drama, Thriller",7.9
Second Wind,1966,150 ,"Crime, Drama",7.9
Le Doulos,1962,108 ,"Crime, Thriller",7.7
"Léon Morin, Priest",1961,117 ,"Drama, Romance, War",7.5
The Silence of the Sea,1949,87 ,"Drama, Romance, War",7.6
Doctor Zhivago,1965,197 ,"Drama, Romance, War",7.9
Hobson's Choice,1954,108 ,"Comedy, Drama, Romance",7.7
Ryan's Daughter,1970,200 ,"Drama, Romance",7.4
The Muppet Christmas Carol,1992,85 ,"Comedy, Drama, Family",7.8
The Muppet Movie,1979,95 ,"Adventure, Comedy, Family",7.6
Scrooge,1970,113 ,"Drama, Family, Fantasy",7.5
A Christmas Carol,1938,69 ,"Drama, Family, Fantasy",7.5
Oliver!,1968,153 ,"Drama, Family, Musical",7.4
Little Dorrit,1987,357 ,"Drama, Romance",7.2
Chinatown,1974,130 ,"Drama, Mystery, Thriller",8.2
Rosemary's Baby,1968,137 ,"Drama, Horror",8.0
The Tenant,1976,126 ,"Drama, Thriller",7.6
Repulsion,1965,105 ,"Drama, Horror, Thriller",7.6
Knife in the Water,1962,94 ,"Drama, Thriller",7.4
Macbeth,1971,140 ,"Drama, History",7.4
Tess,1979,186 ,"Drama, Romance",7.3
Death and the Maiden,1994,103 ,"Drama, Mystery, Thriller",7.2
Bitter Moon,1992,139 ,"Drama, Romance, Thriller",7.2
The Ghost Writer,2010,128 ,"Crime, Drama, Mystery",7.2
The Fearless Vampire Killers,1967,91 ,"Comedy, Horror",7.0
Cul-de-sac,1966,112 ,"Comedy, Drama, Thriller",7.0
Hamlet,1964,140 ,Drama,8.2
King Lear,1970,140 ,Drama,8.1
Omkara,2006,155 ,"Action, Crime, Drama",8.0
Maqbool,2003,132 ,"Crime, Drama, Thriller",8.0
Chimes at Midnight,1965,115 ,"Comedy, Drama, History",7.6
The Taming of the Scoundrel,1980,107 ,"Comedy, Romance",7.6
Romeo and Juliet,1968,138 ,"Drama, Romance",7.6
Othello,1951,90 ,"Drama, Romance",7.5
Macbeth,1948,107 ,"Drama, History, War",7.4
Titus,1999,162 ,"Drama, History, Thriller",7.1
The Taming of The Shrew,1967,122 ,"Comedy, Drama, Romance",7.1
The King's Speech,2010,118 ,"Biography, Drama, History",8.0
Maurice,1987,140 ,"Drama, Romance",7.6
Les Misérables,2012,158 ,"Drama, Musical, Romance",7.5
Howards End,1992,142 ,"Drama, Romance",7.4
Margaret's Museum,1995,114 ,Drama,7.2
Mighty Aphrodite,1995,95 ,"Comedy, Fantasy, Romance",7.0
Conversations with Other Women,2005,84 ,"Comedy, Drama, Romance",6.9
Les Misérables,1995,175 ,"Drama, History",7.5
Les Misérables,1958,210 ,Drama,7.4
A Monkey in Winter,1962,105 ,"Comedy, Drama",7.4
The Professional,1981,108 ,"Action, Crime, Drama",7.4
Classe Tous Risques,1960,103 ,"Crime, Drama, Romance",7.5
Le Magnifique,1973,95 ,"Action, Comedy, Fantasy",7.1
The White Diamond,2004,88 ,Documentary,7.5
Close-Up,1990,98 ,"Biography, Crime, Drama",8.2
