Pavadinimas,Metai,Trukmė,Žanras,Reitingas
Sons of the Desert,1933,68 ,"Comedy, Family",7.5
Zero for Conduct,1933,44 ,"Short, Drama",7.2
L'Atalante,1934,89 ,"Comedy, Drama, Romance",7.7
The Black Cat,1934,65 ,"Crime, Horror, Romance",6.9
The Gay Divorcee,1934,107 ,"Comedy, Musical, Romance",7.4
The Goddess,1934,85 ,Drama,7.7
Imitation of Life,1934,111 ,"Comedy, Drama, Romance",7.5
It Happened One Night,1934,105 ,"Comedy, Romance",8.1
My Man Godfrey,1936,94 ,"Comedy, Drama, Romance",7.9
Mr. Deeds Goes to Town,1936,115 ,"Comedy, Drama, Romance",7.8
Modern Times,1936,87 ,"Comedy, Drama, Romance",8.5
Libeled Lady,1936,98 ,"Comedy, Romance",7.8
Fury,1936,92 ,"Crime, Drama, Film-Noir",7.8
Dodsworth,1936,101 ,"Drama, Romance",7.8
Camille,1936,109 ,"Drama, Romance",7.3
Triumph of the Will,1935,110 ,"Documentary, History",7.1
Top Hat,1935,101 ,"Comedy, Musical, Romance",7.7
The 39 Steps,1935,86 ,"Crime, Mystery, Thriller",7.6
A Tale of Two Cities,1935,128 ,"Drama, History, Romance",7.8
Ruggles of Red Gap,1935,90 ,"Comedy, Mystery, Romance",7.6
A Night at the Opera,1935,96 ,"Comedy, Music, Musical",7.8
Mutiny on the Bounty,1935,132 ,"Adventure, Biography, Drama",7.6
Les Misérables,1935,108 ,"Drama, History, Romance",7.7
David Copperfield,1935,130 ,"Adventure, Drama, Family",7.4
Captain Blood,1935,119 ,"Action, Adventure, History",7.7
The Bride of Frankenstein,1935,75 ,"Drama, Horror, Sci-Fi",7.8
Alice Adams,1935,99 ,"Comedy, Drama, Romance",6.9
The Thin Man,1934,91 ,"Comedy, Crime, Mystery",7.9
The Scarlet Empress,1934,104 ,"Drama, History, Romance",7.5
Of Human Bondage,1934,83 ,"Drama, Romance",7.0
Rembrandt,1936,85 ,"Biography, Drama",7.1
Sabotage,1936,76 ,"Crime, Thriller",7.0
The Story of a Cheat,1936,81 ,Comedy,7.6
The Story of Louis Pasteur,1936,86 ,"Biography, Drama, History",7.3
Swing Time,1936,103 ,"Comedy, Musical, Romance",7.5
The Awful Truth,1937,90 ,"Comedy, Romance",7.7
Captains Courageous,1937,117 ,"Adventure, Drama, Family",7.9
A Day at the Races,1937,111 ,"Comedy, Family, Musical",7.5
Dead End,1937,93 ,"Crime, Drama, Film-Noir",7.2
The Good Earth,1937,138 ,"Drama, Romance",7.5
The Grand Illusion,1937,113 ,"Drama, War",8.1
Lost Horizon,1937,132 ,"Adventure, Drama, Fantasy",7.6
Make Way for Tomorrow,1937,91 ,"Drama, Romance",8.2
Marked Woman,1937,96 ,"Crime, Film-Noir, Thriller",7.1
Maytime,1937,132 ,"Drama, Musical, Mystery",7.3
Pépé le Moko,1937,94 ,"Crime, Drama, Romance",7.7
The Prisoner of Zenda,1937,101 ,"Adventure, Drama, Romance",7.6
Stage Door,1937,92 ,"Comedy, Drama, Romance",7.7
A Star Is Born,1937,111 ,"Drama, Romance",7.3
Stella Dallas,1937,106 ,"Drama, Romance",7.4
Topper,1937,97 ,"Comedy, Fantasy, Romance",7.2
Way Out West,1937,66 ,"Comedy, Family, Western",7.6
The Adventures of Robin Hood,1938,102 ,"Action, Adventure, Romance",7.9
Angels with Dirty Faces,1938,97 ,"Crime, Drama, Film-Noir",7.9
The Baker's Wife,1938,133 ,"Comedy, Drama",7.5
Bringing Up Baby,1938,102 ,Comedy,7.8
Holiday,1938,95 ,"Comedy, Romance",7.7
Jezebel,1938,104 ,"Drama, Romance",7.4
The Lady Vanishes,1938,96 ,"Mystery, Thriller",7.7
Pygmalion,1938,89 ,"Comedy, Drama, Romance",7.7
You Can't Take It with You,1938,126 ,"Comedy, Drama, Romance",7.8
Babes in Arms,1939,94 ,"Comedy, Musical",6.3
Le Jour Se Leve,1939,93 ,"Crime, Drama, Romance",7.7
The Four Feathers,1939,129 ,"Adventure, Drama, Romance",7.4
Gone with the Wind,1939,238 ,"Drama, Romance, War",8.2
The Hunchback of Notre Dame,1939,116 ,"Drama, Horror, Romance",7.8
Mr. Smith Goes to Washington,1939,129 ,"Comedy, Drama",8.1
Ninotchka,1939,110 ,"Comedy, Romance",7.8
Only Angels Have Wings,1939,121 ,"Adventure, Drama, Romance",7.6
The Roaring Twenties,1939,106 ,"Crime, Drama, Film-Noir",7.9
The Rules of the Game,1939,110 ,"Comedy, Drama",7.9
Stagecoach,1939,96 ,"Adventure, Drama, Western",7.8
The Story of the Last Chrysanthemum,1939,148 ,"Drama, Romance",7.8
The Wizard of Oz,1939,102 ,"Adventure, Family, Fantasy",8.1
The Women,1939,133 ,"Comedy, Drama",7.7
Wuthering Heights,1939,104 ,"Drama, Romance",7.5
Young Mr. Lincoln,1939,100 ,"Biography, Drama, History",7.5
Abe Lincoln in Illinois,1940,110 ,"Biography, Drama, History",7.3
"All This, and Heaven Too",1940,141 ,"Drama, Romance",7.4
Fantasia,1940,124 ,"Animation, Family, Fantasy",7.7
Foreign Correspondent,1940,120 ,"Action, Romance, Thriller",7.4
The Grapes of Wrath,1940,129 ,Drama,8.1
The Great Dictator,1940,125 ,"Comedy, Drama, War",8.4
The Great McGinty,1940,82 ,Comedy,7.3
His Girl Friday,1940,92 ,"Comedy, Drama, Romance",7.8
The Letter,1940,95 ,"Crime, Drama, Film-Noir",7.5
The Mark of Zorro,1940,94 ,"Action, Adventure, Family",7.5
The Mortal Storm,1940,100 ,Drama,7.7
My Favorite Wife,1940,88 ,"Comedy, Romance",7.3
The Philadelphia Story,1940,112 ,"Comedy, Romance",7.9
Pinocchio,1940,88 ,"Animation, Adventure, Comedy",7.5
Rebecca,1940,130 ,"Drama, Film-Noir, Mystery",8.1
The Sea Hawk,1940,127 ,"Action, Adventure, History",7.6
The Shop Around the Corner,1940,99 ,"Comedy, Drama, Romance",8.0
The Thief of Bagdad,1940,106 ,"Adventure, Family, Fantasy",7.4
Waterloo Bridge,1940,108 ,"Drama, Romance, War",7.7
The Westerner,1940,100 ,"Drama, Western",7.3
Citizen Kane,1941,119 ,"Drama, Mystery",8.3
All That Money Can Buy,1941,107 ,"Drama, Fantasy, Romance",7.6
Dumbo,1941,64 ,"Animation, Adventure, Drama",7.2
Here Comes Mr. Jordan,1941,94 ,"Comedy, Fantasy, Romance",7.6
High Sierra,1940,100 ,"Action, Adventure, Drama",7.5
Hold Back the Dawn,1941,116 ,"Drama, Romance",7.3
How Green Was My Valley,1941,118 ,"Drama, Family",7.7
The Lady Eve,1941,94 ,"Comedy, Romance",7.7
The Maltese Falcon,1941,100 ,"Crime, Film-Noir, Mystery",8.0
Meet John Doe,1941,122 ,"Comedy, Drama, Romance",7.6
Sergeant York,1941,134 ,"Biography, Drama, History",7.7
Sullivan's Travels,1941,90 ,"Adventure, Comedy, Drama",7.9
The Wolf Man,1941,70 ,"Horror, Mystery, Romance",7.2
Casablanca,1942,102 ,"Drama, Romance, War",8.5
The Lost Weekend,1945,101 ,"Drama, Film-Noir",7.9
Gentleman Jim,1942,104 ,"Biography, Drama, Romance",7.6
The Magnificent Ambersons,1942,88 ,"Drama, Romance",7.6
Mrs. Miniver,1942,134 ,"Drama, Romance, War",7.6
"Now, Voyager",1942,117 ,"Drama, Romance",7.9
The Palm Beach Story,1942,88 ,"Comedy, Romance",7.5
The Pride of the Yankees,1942,128 ,"Biography, Drama, Romance",7.6
Random Harvest,1942,126 ,"Drama, Romance",7.9
The Talk of the Town,1942,118 ,"Comedy, Drama, Romance",7.5
This Gun for Hire,1942,81 ,"Crime, Drama, Film-Noir",7.4
To Be or Not to Be,1942,99 ,"Comedy, Romance, War",8.2
Woman of the Year,1942,114 ,"Comedy, Drama, Romance",7.1
Yankee Doodle Dandy,1942,126 ,"Biography, Drama, Family",7.6
Leave Her to Heaven,1945,110 ,"Drama, Film-Noir, Romance",7.6
Detour,1945,66 ,"Crime, Drama, Film-Noir",7.3
Children of Paradise,1945,189 ,"Drama, Romance",8.3
And Then There Were None,1945,97 ,"Crime, Drama, Mystery",7.4
To Have and Have Not,1944,100 ,"Adventure, Comedy, Film-Noir",7.8
National Velvet,1944,123 ,"Drama, Family, Sport",7.3
"Murder, My Sweet",1944,95 ,"Crime, Drama, Film-Noir",7.5
The Miracle of Morgan's Creek,1943,98 ,"Comedy, Romance, War",7.6
Meet Me in St. Louis,1944,113 ,"Comedy, Drama, Family",7.5
Lifeboat,1944,97 ,"Drama, War",7.6
Laura,1944,88 ,"Drama, Film-Noir, Mystery",7.9
"Ivan the Terrible, Part I",1944,95 ,"Biography, Drama, History",7.7
Hail the Conquering Hero,1944,101 ,"Comedy, War",7.6
Gaslight,1944,114 ,"Crime, Drama, Mystery",7.8
Double Indemnity,1944,107 ,"Crime, Drama, Film-Noir",8.3
A Canterbury Tale,1944,124 ,"Comedy, Drama, Mystery",7.3
Arsenic and Old Lace,1944,118 ,"Comedy, Crime, Thriller",7.9
The Song of Bernadette,1943,156 ,"Biography, Drama, Mystery",7.6
Shadow of a Doubt,1943,108 ,"Film-Noir, Thriller",7.8
The Ox-Bow Incident,1943,75 ,"Drama, Western",8.0
Obsession,1943,140 ,"Crime, Drama, Romance",7.6
The More the Merrier,1943,104 ,Comedy,7.6
The Life and Death of Colonel Blimp,1943,163 ,"Drama, Romance, War",8.0
Jane Eyre,1943,97 ,"Drama, Romance",7.5
I Walked with a Zombie,1943,69 ,"Drama, Fantasy, Horror",7.0
Heaven Can Wait,1943,112 ,"Comedy, Drama, Fantasy",7.4
Forever and a Day,1943,104 ,"Drama, History",7.0
Mildred Pierce,1945,111 ,"Crime, Drama, Film-Noir",7.9
The Picture of Dorian Gray,1945,110 ,"Drama, Fantasy, Horror",7.5
"Rome, Open City",1945,103 ,"Drama, Thriller, War",8.0
Spellbound,1945,111 ,"Film-Noir, Mystery, Romance",7.5
The Spiral Staircase,1946,83 ,"Drama, Horror, Mystery",7.3
A Tree Grows in Brooklyn,1945,129 ,"Drama, Family, Romance",8.0
Beauty and the Beast,1946,93 ,"Drama, Fantasy, Romance",7.9
The Best Years of Our Lives,1946,170 ,"Drama, Romance, War",8.1
Brief Encounter,1945,86 ,"Drama, Romance",8.0
Germany Year Zero,1948,78 ,"Drama, History, War",7.8
General Della Rovere,1959,129 ,"Drama, War",7.7
Paisan,1946,120 ,"Drama, War",7.6
Europe '51,1952,118 ,Drama,7.4
Journey to Italy,1954,97 ,"Drama, Romance",7.3
The Flowers of St. Francis,1950,85 ,"Biography, Comedy, Drama",7.3
Stromboli,1950,81 ,Drama,7.2
Die Nibelungen: Siegfried,1924,100 ,"Adventure, Drama, Fantasy",8.1
The Big Heat,1953,89 ,"Crime, Film-Noir, Thriller",7.9
The Testament of Dr. Mabuse,1933,122 ,"Crime, Mystery, Thriller",7.9
Die Nibelungen: Kriemhild's Revenge,1924,129 ,"Adventure, Drama, Fantasy",7.9
The Woman in the Window,1944,107 ,"Crime, Drama, Film-Noir",7.6
Destiny,1921,114 ,"Drama, Fantasy, Horror",7.6
Spies,1928,90 ,"Romance, Thriller",7.5
Hangmen Also Die!,1943,134 ,"Drama, Film-Noir, Thriller",7.4
You Only Live Once,1937,86 ,"Crime, Drama, Film-Noir",7.2
Man Hunt,1941,105 ,"Crime, Drama, Romance",7.2
Human Desire,1954,91 ,"Drama, Film-Noir, Romance",7.1
Clash by Night,1952,105 ,"Drama, Film-Noir, Romance",7.0
The Human Beast,1938,100 ,"Crime, Drama",7.5
This Land Is Mine,1943,103 ,"Drama, War",7.5
The Lower Depths,1936,90 ,"Crime, Drama, Romance",7.5
The River,1951,99 ,"Drama, Romance",7.4
French Cancan,1955,102 ,"Comedy, Drama, Musical",7.3
The Crime of Monsieur Lange,1936,77 ,"Comedy, Crime, Drama",7.3
The Golden Coach,1952,103 ,"Comedy, Drama, History",7.0
Orpheus,1950,112 ,"Drama, Fantasy, Romance",7.9
The Blood of a Poet,1932,55 ,Fantasy,7.3
Testament of Orpheus,1960,79 ,"Biography, Fantasy",7.2
It's a Wonderful Life,1946,130 ,"Drama, Family, Fantasy",8.6
The Killers,1946,103 ,"Crime, Drama, Film-Noir",7.7
A Matter of Life and Death,1946,104 ,"Drama, Fantasy, Romance",8.0
My Darling Clementine,1946,97 ,"Drama, Romance, Western",7.7
Notorious,1946,102 ,"Drama, Film-Noir, Romance",7.9
The Razor's Edge,1946,145 ,"Drama, Romance",7.3
To Each His Own,1946,122 ,"Drama, Romance",7.6
The Bishop's Wife,1947,109 ,"Comedy, Drama, Fantasy",7.6
Black Narcissus,1947,101 ,Drama,7.7
Body and Soul,1947,104 ,"Drama, Film-Noir, Sport",7.6
Dark Passage,1947,106 ,"Film-Noir, Thriller",7.5
The Ghost and Mrs. Muir,1947,104 ,"Comedy, Drama, Fantasy",7.8
Miracle on 34th Street,1947,96 ,"Comedy, Drama, Family",7.9
Monsieur Verdoux,1947,124 ,"Comedy, Crime, Drama",7.8
Odd Man Out,1947,116 ,"Crime, Drama, Film-Noir",7.6
Out of the Past,1947,97 ,"Crime, Drama, Film-Noir",8.0
Bicycle Thieves,1948,89 ,Drama,8.3
The Snake Pit,1948,108 ,"Drama, Mystery",7.6
Rope,1948,80 ,"Crime, Drama, Mystery",7.9
The Red Shoes,1948,135 ,"Drama, Music, Romance",8.1
Red River,1948,133 ,"Drama, Western",7.8
Oliver Twist,1948,105 ,Drama,7.8
The Naked City,1948,96 ,"Crime, Drama, Film-Noir",7.6
Letter from an Unknown Woman,1948,87 ,"Drama, Romance",7.9
Johnny Belinda,1948,102 ,Drama,7.7
I Remember Mama,1948,134 ,"Drama, Family",7.9
Hamlet,1948,154 ,Drama,7.6
Easter Parade,1948,103 ,"Musical, Romance",7.3
Umberto D.,1952,89 ,Drama,8.2
Shoeshine,1946,87 ,Drama,8.0
Two Women,1960,101 ,"Drama, War",7.7
Miracle in Milan,1951,97 ,"Comedy, Drama, Fantasy",7.6
The Children Are Watching Us,1943,84 ,Drama,7.7
Marriage Italian Style,1964,102 ,"Comedy, Drama, Romance",7.4
The Garden of the Finzi-Continis,1970,94 ,"Drama, History, War",7.3
Sunflower,1970,107 ,"Drama, War",7.3
The Roof,1956,91 ,"Comedy, Drama",7.4
A Brief Vacation,1973,112 ,"Drama, Romance",7.5
"Yesterday, Today and Tomorrow",1963,119 ,"Comedy, Romance",7.2
Boccaccio '70,1962,205 ,"Comedy, Fantasy, Romance",7.0
"Sorry, Wrong Number",1948,89 ,"Drama, Film-Noir, Mystery",7.3
Spring in a Small Town,1948,98 ,"Drama, Romance",7.3
Unfaithfully Yours,1948,105 ,"Comedy, Music, Romance",7.5
Adam's Rib,1949,101 ,"Comedy, Romance",7.4
All the King's Men,1949,110 ,"Drama, Film-Noir",7.4
Battleground,1949,118 ,"Action, Drama, History",7.4
Champion,1949,99 ,"Drama, Film-Noir, Sport",7.3
The Heiress,1949,115 ,"Drama, Romance",8.1
Kind Hearts and Coronets,1949,106 ,"Comedy, Crime",8.0
On the Town,1949,98 ,"Comedy, Musical, Romance",7.3
The Third Man,1949,93 ,"Film-Noir, Mystery, Thriller",8.1
Twelve O'Clock High,1949,132 ,"Drama, War",7.7
White Heat,1949,114 ,"Action, Crime, Drama",8.1
All About Eve,1950,138 ,Drama,8.2
The Asphalt Jungle,1950,112 ,"Crime, Drama, Film-Noir",7.8
Born Yesterday,1950,103 ,"Comedy, Drama, Romance",7.5
Cinderella,1950,74 ,"Animation, Family, Fantasy",7.3
D.O.A.,1949,83 ,"Crime, Drama, Film-Noir",7.2
Father of the Bride,1950,92 ,"Comedy, Drama, Romance",7.1
The Gunfighter,1950,85 ,Western,7.7
Harvey,1950,104 ,"Comedy, Drama, Fantasy",7.9
In a Lonely Place,1950,94 ,"Drama, Film-Noir, Mystery",7.9
The Young and the Damned,1950,80 ,"Crime, Drama",8.3
Panic in the Streets,1950,96 ,"Crime, Drama, Film-Noir",7.2
Rashomon,1950,88 ,"Crime, Drama, Mystery",8.2
Rio Grande,1950,105 ,"Drama, Romance, Western",7.0
Seven Days to Noon,1950,94 ,"Drama, Thriller",7.0
Sunset Blvd.,1950,110 ,"Drama, Film-Noir",8.4
Winchester '73,1950,92 ,"Action, Drama, Western",7.6
The Treasure of the Sierra Madre,1948,126 ,"Adventure, Drama, Western",8.2
The Exterminating Angel,1962,95 ,"Drama, Fantasy",8.0
Viridiana,1961,91 ,Drama,8.1
El,1953,82 ,"Drama, Romance",7.9
The Discreet Charm of the Bourgeoisie,1972,102 ,Comedy,7.8
That Obscure Object of Desire,1977,103 ,"Comedy, Drama, Romance",7.8
The Phantom of Liberty,1974,104 ,Comedy,7.8
Simon of the Desert,1965,43 ,"Short, Comedy, Drama",7.9
The Criminal Life of Archibaldo de la Cruz,1955,89 ,"Comedy, Crime, Drama",7.6
Nazarin,1959,94 ,Drama,7.8
Belle de Jour,1967,100 ,"Drama, Romance",7.7
Tristana,1970,99 ,Drama,7.4
Diary of a Chambermaid,1964,97 ,"Crime, Drama",7.4
The Milky Way,1969,105 ,"Comedy, Drama",7.4
An American in Paris,1951,114 ,"Drama, Musical, Romance",7.2
Alice in Wonderland,1951,75 ,"Animation, Adventure, Comedy",7.3
The African Queen,1951,105 ,"Adventure, Drama, Romance",7.7
The Day the Earth Stood Still,1951,92 ,"Drama, Sci-Fi",7.8
Decision Before Dawn,1951,119 ,"Drama, War",7.2
Diary of a Country Priest,1951,95 ,Drama,7.8
The Lavender Hill Mob,1951,78 ,"Comedy, Crime",7.5
The Man in the White Suit,1951,85 ,"Comedy, Drama, Sci-Fi",7.3
A Face in the Crowd,1957,126 ,"Drama, Music",8.2
On the Waterfront,1954,108 ,"Crime, Drama, Thriller",8.1
A Streetcar Named Desire,1951,122 ,Drama,7.9
East of Eden,1955,118 ,Drama,7.8
America America,1963,174 ,"Adventure, Drama",7.7
Splendor in the Grass,1961,124 ,"Drama, Romance",7.7
Wild River,1960,110 ,"Drama, History, Romance",7.5
Baby Doll,1956,114 ,"Comedy, Drama",7.3
Gentleman's Agreement,1947,118 ,"Drama, Romance",7.2
Dersu Uzala,1975,142 ,"Adventure, Biography, Drama",8.2
Ran,1985,160 ,"Action, Drama, War",8.2
Yojimbo,1961,110 ,"Action, Drama, Thriller",8.2
The Hidden Fortress,1958,126 ,"Action, Adventure, Drama",8.1
Throne of Blood,1957,110 ,Drama,8.1
Sanjuro,1962,96 ,"Action, Drama, Thriller",8.0
Kagemusha,1980,162 ,"Drama, History, War",7.9
The Bad Sleep Well,1960,151 ,"Crime, Drama, Thriller",8.0
Stray Dog,1949,122 ,"Crime, Drama, Film-Noir",7.8
Dreams,1990,119 ,"Drama, Fantasy",7.7
Drunken Angel,1948,102 ,"Crime, Drama, Romance",7.6
Tora! Tora! Tora!,1970,144 ,"Action, Drama, History",7.5
High and Low,1963,143 ,"Crime, Drama, Mystery",8.4
Red Beard,1965,185 ,Drama,8.3
Ikiru,1952,143 ,Drama,8.3
Pandora and the Flying Dutchman,1951,124 ,"Drama, Fantasy, Mystery",6.9
A Place in the Sun,1951,122 ,"Drama, Romance",7.7
Quo Vadis,1951,171 ,"Biography, Drama, Romance",7.1
Strangers on a Train,1951,101 ,"Crime, Drama, Film-Noir",7.9
The Thing from Another World,1951,87 ,"Horror, Sci-Fi",7.1
The Bad and the Beautiful,1952,118 ,"Drama, Romance",7.8
